Name,UserName,Desc
Paige S.,paigedoesitall,"Single mom of BEST 9yr old. Cancer survivor. Community organizer. Passionate about transparency & change in public education. Fashion, art & design lover."
Montecito Preschool,MontecitoSchool,"At Montecito, children thrive in a unique setting built especially for them. One that supports discovery, independence and social interaction."
Cat Shieh,CShieh,Currently a high school teacher through Teach for America | Views expressed are my own.
Scott Kinney_Capella,CapellaU_Pres,President of Capella University (@CapellaU) an accredited online #university serving working adults. Passionate about innovation in #highered. #edchat
Paula Ambrose,pambrosed,Mom  | Champion for learning and literacy | Play Advocate | Committed to community service
NEA Public Relations,NEAMedia,"Media team for the National Education Association, sharing #education and NEA news. Tweets do not equal endorsement."
Moses Raadt,mosesraadt,Inspirational Leader & Certified National Trainer for Center for Teacher Effectiveness.
Karen Reynolds ,KarenMReynolds,
Hirsch & Associates,HAphilanthropy,"Hirsch & Associates works with families, foundations, and corporations to maximize the impact of their philanthropy."
Sam Shaw,SciencEDU,Science Specialist.
Peter D Ford III,adinasi,"I am 'that guy' who answers a question with a question. Indeed, my classroom is tough so the rest of your life won't be."
Rey Fuentes,ReyNextGen,"Researcher at Next Generation. Policy wonk, early education advocate."
Bsingh,AmbitionZ_2Bcs,"Politics, Bay Area Sports  Let's Go Oakland"
Therese Sandomierski,ThereseSando,Behavioral consultant and exuberant data geek focused on educational systems change as a means towards an improved society.
Education Coalition,Edco4Kids,We work to mobilize the community to improve Decatur / Macon County through education. Affiliated with @StriveTogether.
William E Peace Jr,wepeace99,Lyme Fighter Progressive Intuit
Wes Smith,ACSAwes,"Executive Director, Association of California School Administrators"
STEM_Educator,STEM_Educator,"Someone very wise once said: 'If it ain't broke, don't fix it!' Views expressed are my own."
Julia Kelly,juchkell,"Lifelong student, and a teacher too. Into feminism, CS, and fun."
Mike Stryer,MikeStryer,VP- Teach Plus
thomas Jr. ,t_NYC,"Union Thug, Poet. Born in Queens, raised in Staten, made in Brooklyn. #WorkingClass NO MORE DIVIDE & CONQUER WE SURVIVE & PROSPER!"
Foothill College,Foothillnews,An innovative community college offering university transfer and career education in California's Silicon Valley.
Debbie Lane,LaneDebra,"Passionate Learner, Cognitive Coach, International Educator, Olweus Bullying Prevention Trainer, Elementary & Middle School Principal, Consultant"
Sharon,Sista42,"Self Assured, Confident,Practical and down-to-earth and believe in following the rules and cooperating with others. http://t.co/K7EAoRXs1a"
Joan Young ,flourishingkids,Teacher/proud grandma/author of Encouragement in the Classroom (ASCD) and “25 Super Sight Word Songs & Mini-Books” (Scholastic)
Anne Davis,indianaannie,
CTE-TEACH,cteteach_rhc,"Promotes CTE teaching profession to high school, college students & skilled professionals."
Ed Activist NH,EDactivistNH,I'll provide you with good info on education.  Not the packaged stuff you get from the Ed. Establishment.
